id,caseId,company,longitude,latitude,coordinatetype,street,house_nr,floor,postcode,city,area,price,rooms,daysOnMarket,type,descriptiontitle,descriptionbody,date
0f48b46d-0298-4e07-a30b-50889642c6c5-7295000,0f48b46d-0298-4e07-a30b-50889642c6c5,Nybolig Amagerbro,12.625995,55.657288,EPSG4326,Sorrentovej,30,0,2300,København S,110,7295000,3,135,villa apartment,EFTERTRAGTET IDEEL ANPART I ITALIENSVEJSKVARTERET,"OmrådeI Amagers mest eftertragtede villakvarter udbyder vi nu en dybt charmerende villalejlighed på Sorrentovej med anvendelig kælder, sydvendt terrasse og dejlig have.Fra adressen på Sorrentovej er I kun en lille gåtur fra den populære Amager Strandpark med sommer- og vinterbadning samt mulighed for at dyrke diverse sportsgrene til vands. Der er søde naboer til alle sider, og Italiensvejskvarteret er et lille, socialt paradis med vejfest og fælles loppemarkeder. I får tryghed og børneleg på vejen, samtidig med at metroen er få hundrede meter væk, så I på få minutter når Lufthavnen og City. Der er gode indkøbsmuligheder, skoler og institutioner lige i nærheden, samt Strandlodsvej-kvarterets spirende byliv med restauranter, gourmetkaffe og barer.EjendomHuset deles af to familier, og det er stuen og kælderen, der kan blive jeres. Der er tale om en charmerende, klassisk murermestervilla fra 1931, hvor charme og sjæl er nøgleord, der går igen fra start til slut. Trods sin efterhånden imponerende alder står huset flot og i god stand med udskiftet tag og termovinduer i både kælder- og stueetage, og der er ingen udsigter til store udgifter, da der allerede er investeret i bl.a. omfangsdræn, hulmursisolering, cykelskur og haveskur. I den lille fælles have findes blomme- og æbletræer, solbær og brombær samt nøddetræer og en bøgehæk med et par år på bagen.IndretningI mødes af en entré med plads til sko og jakker og så en lille gang med adgang til et rummeligt soveværelse med karnap. Ved siden af finder I den store stue med franske glasdøre ud til det store, lyse landkøkken med opvaskemaskine og god plads til spisebord og stole. En glasdør giver herfra adgang til terrassen med plads til både grill, blomsterkrukker og møblement. I stueetagen findes også et stort indbygget skab og et ældre, men rummeligt, badeværelse med vindue og varme i gulvet.  Underetagen udgøres af den tørre, højloftede kælder, hvor I finder den fælles vaskekælder, som I deler med overboen, ekviperet med både vaskemaskine, tørretumbler og masser af opbevaringsplads. Bortset fra overboens pulterrum er resten af kælderen jeres, hvor I får to store disponible rum, som I kan indrette til f.eks. teenageafdeling eller rum til hjemmetræning, mens der også er et godt gangareal med endnu mere opbevaringsplads og et praktisk toilet.Alt ved denne ejendom er eftertragtet, for både boligform og beliggenhed sidder lige i skabet. Kontakt os i dag og book en fremvisning.",2022-08-19
ad1e3a2a-7615-4f50-9406-4d9dca0888d4-3695000,ad1e3a2a-7615-4f50-9406-4d9dca0888d4,Nybolig Svanemøllen - Thomas Boye Jensen,12.565545,55.710934,EPSG4326,Sankt Kjelds Plads,10,1,2100,København Ø,57,3695000,2,15,condo,,"Velkommen til en fantastisk lejlighed med hele to altaner i et attraktivt område på Østerbro. Her får I nu muligheden for at finde jer til rette i en særlig flot lejlighed på 57 kvadratmeter.BOLIG:Når I træder ind i lejligheden, vil I straks bemærke, at der er kælet for detaljerne. Det gælder alt fra indbyggede skabe, integrerede spots og til et smukt, velholdt plankegulv. Køkkenet er moderne indrettet i flotte materialer, der vidner om god stil og kvalitet. Her kan I glæde jer til en særligt stor altan, hvor det i sommermånederne vil være oplagt at slå dobbeltdørene op, og lade udearealet være en dejlig forlængelse af køkkenet. Lejligheden består yderligere af to rum af god størrelse, hvoraf I finder endnu en altan i forlængelse af det ene. Begge altaner har grønt udkig og langt til naboerne overfor, hvilket både giver jer en skøn udsigt og et godt lysindfald i lejligheden. Grundet den gode planløsning er denne bolig desuden delevenlig til venner, mens den naturligvis også egner sig perfekt til parret eller singlen. Slutteligt byder lejligheden på et badeværelse med elegante fliser på gulvet og i brusenichen.EJENDOM:Ejendommen præsenterer sig flot med gule mursten, som reflekterer et dejligt, varmt lys ned til gårdmiljøet, hvor det desuden er indrettet skønt med moderne siddepladser, legefaciliteter og fine bede.OMRÅDE:Søger I et grønt afbræk, og er gårdmiljøet ikke nok, så bor I midt mellem fantastiske åndehuller. Der er nemlig blot 550 meter til både Fælledparken og Kildevældsparken. Med adresse i dette attraktive områder finder I også alt andet, I har brug for i kort afstand. Eksempelvis kan I vælge mellem fire indkøbssteder indenfor 250 meter fra hoveddøren, mens der heller ikke er langt til hverken bussen eller metroen. Desuden vrimler Østerbro med lækre caféer og spisesteder, som bare venter på, at I går på opdagelse.Lyder det som jeres næste boligkapitel? Så glæder vi os til at møde jer på en fremvisning.",2022-08-20
5c393f09-f008-4352-8a29-7ddb96f9a467-10995000,5c393f09-f008-4352-8a29-7ddb96f9a467,EDC Poul Erik Bech,12.494063,55.684757,EPSG4326,Grønbakken,3,,2720,Vanløse,237.3,10995000,7,19,villa,En af Vanløses smukkeste villaer med ægte Frederiksberg-stemning og en parklignende have på grænsen til Frederiksberg,"Åbent hus med tilmeldingskrav 21/8 - klik på billede - Går du med ønske om en klassisk villa i ""Frederiksberg-stilen"" er denne ejendom bestemt et besøg værd. Den ligger tilmed kun ca. 200-300 meter fra grænsen til Frederiksberg.Område: Beliggende helt centralt i hyggelige Vanløse tæt ved Frederiksberg. Grønbakken er en lille hyggelig villavej beliggende gemt og tilbagetrukket fra byens pulserende liv. Tæt ved ALT; gode indkøbsmuligheder, hyggeligt lokalmiljø med kaffebarer + cafeer, bycenter Kronen, Metro/off. Transport (350 meter til Flintholm St.), Grøndalsparken (indenfor 100 meter) og meget meget mere. Nem adgang til Frederiksberg og hele Kbh. Område og bolig kunne også appellere til kunder, der ellers søger bolig på Frederiksberg og evt. Valby.Bolig: Villa på 185m² bolig + 112m² brugbar kælder. Via flot indgangsparti og smuk hoveddør ankommer man til flot hall med trappe til 1. salen og kælderen. Ejendommens hjerte er de tre flotte stuer ens-suite med de smukkeste, sprossede vindues- og dørpartier, der sikrer flot udsyn og fint lysindfald. De herskebalige dyder som pæne plankegulve, stuk og paneler er i behold. Udgang til flot terrasse med rådhusbelægning og nedgang til haven. Hyggeligt og charmerende snedkerkøkken i den helt rigtige landlige stil, der klæder huset. Desuden mindre værelse/kontor.På 1. salen mødes man af stort repos, der fint kan indrettes til kontor/studieplads/legeområde. Tre separate værelser alle med kviste. Nydeligt badeværelse med separat brus/kar, gulvvarme og møbler i samme stil som køkkenKælderen er lys og meget brugbar med flere disponible rum, vaskerum og separat toilet. Det kan overvejes at lave badeværelse nr. 2 i kælderdelen.Udeareal: Huset er placeret gennemtænkt på den 943 m² store grund - tilbagetrukket, så man mødes af flot forhave og meget præsentabelt indgangsområde med flot Rådhusbelægning. Desuden parkeringsplads. Grundens størrelser tillader, at man samtidig har stor, ugenert og meget frodig, sydvestvendt baghave, der nærmest er parklignende med flotte gamle træer, rododendron og stor græsplæne til boldspil og leg. Stor (tidligere) garage på 30m², der anvendes til god opbevaring. Pt. gennemfører grundejerforeningen renovering af fortove og vej.Når du køber en bolig gennem EDC, har du mulighed for at få en gratis flytteforsikring. Ønsker du denne, skal du sende en mail med ""Ja tak"" til flytteforsikring@gjensidige.dk ",2022-08-20
07a0024b-9a96-490b-9583-7265ae85991a-4495000,07a0024b-9a96-490b-9583-7265ae85991a,Nybolig Brønshøj A/S,12.472443,55.71245,EPSG4326,Hustoftevej,15,1,2700,Brønshøj,144,4495000,5,29,condo,,"EJENDOM:Ejendommen blev opført i 1930, og har tidligere været maskinsnedkeri, hvor flere af bjælkerne er bevaret i boligen. Lejligheden blev renoveret i 2017, og alt fremstår nyt, lyst og indbydende. Til ejendommen medfølger et kælderrum, en lille fælles have og gode parkeringsforhold.INDRETNING:Super moderne planløsning med plads til den store familie. Alt i boligen er moderne og helt indflytningsklar. Der er endvidere gulvvarme i boligen, og som en bonus er der ekstra mange vinduer da det er en endelejlighed. Boligens 1. sal byder på rummelig entre, gæstetoilet med vaskesøjle samt et værelse. Derudover det store køkken/alrum og stue i et. Herfra er der udgang til den skønne altan. På 2. salen findes den private afdeling. Her har vi hele 3 soveværelser og to badeværelser. Det ene i forbindelse med det store soveværelse.OMRÅDE:Få hundrede meter fra Vestvolden venter boligen, der tilbyder det bedste af begge verdener - tæt på by og natur. Langs Frederikssundsvej venter gode busforbindelser, og der er 800 meter til Husum Station. Nærområdet byder på gode indkøbsmuligheder, skoler og daginstitutioner.HAR DU EN BOLIG, DER SKAL SÆLGES? SÅ RING STRAKS TIL NYBOLIG PÅ TELEFON 3826 2880 ELLER MAIL HERTIL: 2700@NYBOLIG.DK",2022-08-20
dc871ece-80a1-4277-9c1c-2e65ed381170-3500000,dc871ece-80a1-4277-9c1c-2e65ed381170,Estate Amager Aps,12.61922,55.65403,EPSG4326,Kastrupvej,67,3,2300,København S,88,3500000,3,88,condo,Hjørne-3V’er med flot view til grønt teater – tæt på Strandparken,"Til køberen, der søger en lejlighed med regulære rum, udsyn mod verden og en god adresse på Amager, er der god grund til at sætte kurs mod Kastrupvej 67. Her venter nemlig en 3V'er, der ikke bare rækker ud efter de nævnte kvaliteter, men som favner dem alle med største overbevisning.Lad os tage udsynet først: Der er tale om en hjørnelejlighed med vinduer primært mod Italiensvej og Filipsparken. På tredje sal er lejligheden hævet over det omkringliggende byggeri, og det giver flere glæder. Dels lysets frie vej ind i lejligheden, ikke mindst i de to stuer, der er forbundet af franske fløjdøre. Dels kig til grønne trætoppe på Italiensvej og til Filipsparkens åbne byrum, der kommer helt op at ringe på byens skala over udsigter. I synsfeltet indgår mange botaniske indslag og det stille liv i parken, der er en evigt foranderlig scene i byens teater. Men view'et er også dybt med et bagtæppe, der formes af lyset over byen, skyernes drivende bevægelser og himlens uendelighed.Den gode indretning: Entréen fordeler til bad, køkken, de to stuer en suite og værelset. Badeværelset har separat bruseafdeling. Køkkenet byder blandt andet på hyggelig spiseplads og praktisk vaskemaskine. De to stuer og værelset er højloftede, herskabelige og holder gode størrelser. Rumdelingen gør lejligheden velegnet til den pladskrævende single, parret eller den lille familie. Med stuer og værelse fordelt på to særskilte afdelinger har 3V'eren også potentiale som delebolig. Den gode adresse: Hyggeligt nærmiljø med grønne parker, legeplads, daginstitutioner og indkøb. Ikke nogen partyzone, men derimod et roligt nabolag, hvor man hurtigt føler sig lokal og hilser på de øvrige beboere. Godt 500 meter til Amagerbrogades urbane fornøjelser. Fem minutter på cykel til strandparken. Endnu tættere på ligger Amager Strand Station med metro. Et kvarter på cykel fra City.Bonusinfo: Hyggeligt gårdmiljø med terrasse, græs, blomster og bede - det hele passes af en vicevært. Overdækket parkering i gården til cykler og barnevogne. Altid nemt at finde en (gratis) p-plads til bilen tæt på Kastrupvej 67.",2022-08-20
02f6c5b6-6cc4-428c-a949-92c3e1432e02-6495000,02f6c5b6-6cc4-428c-a949-92c3e1432e02,danbolig Amager – Sundbyvester Plads,12.594145,55.666504,EPSG4326,Amager Boulevard,112,3,2300,København S,123,6495000,4,96,condo,Skøn 4Ver fra 2018 med god beliggenhed på Amagerbro,"På Amager Boulevard 112 venter jer en central placering i København S, kun cirka to kilometer fra Rådhuspladsen. Og så får I tilmed en hyggelig fireværelses lejlighed med altan på tredje etage af en moderne ejendom fra 2018. Glæd jer til et godt lydisoleret miljø med gulvvarme og et herligt lysindfald i køkken-alrummet, tre regulære værelser og et badeværelse foruden praktiske fællesfaciliteter i kælderen.  Hjemmets omdrejningspunkt er det flotte og rummelige køkken-alrum, hvor dagslyset får lov",2022-08-20
e3340f93-c21e-4cab-9a81-fa6bcbe1eac6-2995000,e3340f93-c21e-4cab-9a81-fa6bcbe1eac6,home Vesterbro,12.55667,55.66621,EPSG4326,Sommerstedgade,19,0,1718,København V,56,2995000,2,16,condo,HYGGELIG 2 VÆRELSES LEJLIGHED PÅ STILLE SIDEGADE TIL SØNDER BOULEVARD,"I hjertet af tilbudsrige Vesterbro finder du denne skønne lejlighed, der fremstår lys og rummelig. Perfekt til førstegangskøberen, der drømmer om en base midt i et hipt kulturmiljø!
I forlængelse af stemningsfulde Sønder Boulevard løber rolige Sommerstedgade, der flotter sig med charmerende brosten og klassiske københavnerejendomme. Midt på gaden finder du denne lejlighed, der foruden en fin entré, byder på et stort badeværelse, lejlighedens størrelse taget i betragtning, og endda med vaskesøjle",2022-08-21
3c4adea5-f7ed-4b53-bad0-e769e0350fa8-3995000,3c4adea5-f7ed-4b53-bad0-e769e0350fa8,"EDC Poul Erik Bech, Valby og Sydhavnen",12.51066,55.66012,EPSG4326,Tove Maës Vej,9,0,2500,Valby,90,3995000,3,46,condo,Flot lejlighed fra 2015 med stor solrig terrasse mod grønt område,"Åbent hus med tilmeldingskrav 28/8 - klik på billede - 

Lejligheden er beliggende i det meget attraktive kvarter ved ""Valby Have og ”Valby Maskinfabrik"" med alt inden for kort afstand. Området er skabt som en bydel med både lejligheder og rækkehuse, som omkranser flere legepladser og terrasser, som er foruden den enkelte forenings gårdmiljø. Inden for få min. gang findes Valby Langgades handelsstrøg med specialbutikker, take-away, lækre restauranter og caféer, indkøbsmuligheder og offentlig transport i form af tog og busser til nær og fjern. I nærområdet findes Spinderiets shoppingcenter, ligesom der er kort afstand til Frederiksberg, Frederiksberg Have, Søndermarken, Indre By og Vesterbro. På den modsatte vej over for kvarteret er Ny Ellebjerg Station, som bliver det nye knudepunkt med både tog, bus og kommende metro, ligesom der både ligger kaffebar, Emmerys og den nye bydel ved Grønt Torvet.

Lejligheden ligger på en passage uden biler, og har den ideelle placering i forhold til verdenshjørnerne. Der er gulvvarme overalt i lejligheden, ligesom materialerne er yderst moderne og i lyse farver. De meget stilrene rum sikrer de bedste muligheder for en optimal møblering. Endvidere er forbrugsudgifterne særdeles lave. Lejl. indeh.: Stor entré med plads til sko og overtøj herunder indbygget skab. Lækkert badeværelse med vaskemaskine, tørretumbler, opbevaring, væghængt toilet og sep. bruseniche med glasvæg. 2 gode og store soveværelser med flotte vinduespartier. Walk-in-closet/depotrum samt lækkert åbent køkken fra Svane med grebsfrie skabslåger og gode hårde hvidevarer. Køkkenet integrerer sig smukt i den store stue med fri udsigt til grønt areal og udgang til kæmpe terrasse mod syd/vest.

Ejendommen er fra 2015 og bygget i energivenlige kvalitetsmaterialer. Den fremstår i den helt rigtige arkitektoniske stil, hvor netop denne lejligheds placering i ejendommen får fuldt udbytte af den grønne udsigt og aftensolen. Der hører til ejendommen dørtelefon, elevator, skur til cykel mv., beboerlokale og flot anlagt gårdmiljø. Husdyr er tilladt. Ejerforeningen er særdeles veldrevet, og beboerne har et godt sammenhold.",2022-08-21
a41ad594-66e4-4bdb-bfa8-6f7871d844f0-3750000,a41ad594-66e4-4bdb-bfa8-6f7871d844f0,LokalBolig Hellerup,12.564963,55.728012,EPSG4326,Tuborgvej,56,2,2900,Hellerup,73,3750000,3,63,condo,Hellerups mest sælgende ejendomsmægler præsenterer:,"Velholdt og veludnyttet 3V’er med altan og skøn udsigt til Mindelunden. På Tuborgvej 56 centralt i Hellerup finder I denne fine lejlighed på anden sal, som er lige til at flytte ind i. Hjemmet henvender sig til parret såvel som den lille familie eller enlige, og planløsningen fordeler sig over to værelser, et badeværelse, et køkken og en stue. Hertil er der en herlig sydvendt altan, hvorfra I får udsigt over Mindelunden. Beliggenheden er central, tæt på Hellerup St., Strandvejen, Øresund og Købe",2022-08-21
3292425b-6128-4a42-b581-416f2d8e7ca0-3498000,3292425b-6128-4a42-b581-416f2d8e7ca0,Estate Sydhavnen v/Maria B. Krolack,12.533233,55.64769,EPSG4326,Beethovensvej,1,1,2450,København SV,72,3498000,3,66,condo,,"OMRÅDET:Her kommer du til at bo helt centralt i Sydhavnskvarteret, hvor man straks mærker den helt særlige stemning, som kun ses her i Sydhavnen. En bydel i København hvor du både får fred og ro, natur og et pulserende byliv. Beliggenheden er lige i øjet af det gamle Sydhavnen med den populære café Rallys lige om hjørnet fra lejligheden og Sydhavns Vinbar beliggende blot 5 minutters gang derfra. Man er kun en smuttur fra Karens Minde kulturhus, hvor man finder fællesspisning eller Valby Parkens rosenhaver, løbestier og den nye strandpark. I 2024 skal fem nye underjordiske metrostationer stå klar i Sydhavnen med det nærmeste stop ""Mozarts Plads"" kun 50 meter væk fra lejligheden. På 5-10 min. kan man cykle ned til AAU, KUA, CBS, Sluseholmen, Fisketorvet eller til Sønder Boulevard på Vesterbro. Der er intet at savne i dette spændende og blomstrende Københavnerkvarter.EJENDOMMEN: E/F Kalvebodhus er en veldrevet forening, der tilbyder ejendommens beboere festlokale (under Beethovensvej 5) og tørreloft. Ejendommen er løbende vedligeholdt med blandt andet udskiftet tag, efterisolering, nøglebrik system til opgangene og porte. Det nyeste projekt er gården, som blev færdigrenoveret i sommeren 2021 og er omfattet af Københavns kommunes ""Grønne Gårde"" og fuldt finansieret af Københavns kommune. Fællesskabet er hjertevarmt i denne forening med blandt andet 2 årlige arbejdsdage med spisning bagefter i bedste Sydhavnsånd. Til lejligheden er der brugsret enten kælderrum eller loftsrum.INDRETNING:Velkommen indenfor i denne veldisponeret lejlighed der har en særdeles familievenlig planløsning. Lejligheden indeholder et stort hjerterum, nemlig den charmerende stue. Her er en hyggelig karnap, der har direkte udgang til altan der vender mod den rolige og ensrettede Beethovensvej. Lejligheden disponerer et velholdt køkken, der har rigeligt med opbevaringsplads og bagtrappe mod den nyere renoveret gård. Lejligheden disponerer over to gode soveværelser, det ene ind mod gården. Badeværelset er velholdt med mindre, separat brus.",2022-08-21
